"id","number","identifier","name","alias","party","votes","state_name","state_uf","state_votes"
1,1101,10001621643,"MARIA DO SOCORRO NERI MEDEIROS DE SOUZA","SOCORRO NERI","PP",25842,"ACRE","AC",434253
2,4455,10001612486,"ROZIMEIRE RIBEIRO ANDRADE","MEIRE SERAFIM","UNIÃO",21285,"ACRE","AC",434253
3,4422,10001612487,"ULYSSES FREITAS PEREIRA DE ARAUJO","CORONEL ULYSSES","UNIÃO",21075,"ACRE","AC",434253
4,1111,10001621650,"GEHLEN DINIZ ANDRADE","GERLEN DINIZ","PP",19560,"ACRE","AC",434253
5,1000,10001619990,"ANTÔNIA LUCILEIA CRUZ RAMOS CAMARA","ANTÔNIA LUCIA","REPUBLICANOS",16280,"ACRE","AC",434253
6,4444,20001611726,"ALFREDO GASPAR DE MENDONÇA NETO","ALFREDO GASPAR","UNIÃO",102039,"ALAGOAS","AL",1650763
7,4343,20001610335,"LUCIANO SURUAGY DO AMARAL FILHO","LUCIANO AMARAL","PV",101508,"ALAGOAS","AL",1650763
8,1199,20001614180,"MARX BELTRÃO LIMA SIQUEIRA","MARX BELTRÃO","PP",88512,"ALAGOAS","AL",1650763
9,1515,20001653892,"ISNALDO BULHÕES BARROS JÚNIOR","ISNALDO BULHÕES JR","MDB",83965,"ALAGOAS","AL",1650763
10,1313,20001610332,"PAULO FERNANDO DOS SANTOS","PAULÃO","PT",65814,"ALAGOAS","AL",1650763
11,1155,20001614181,"DANIEL BARBOSA DE ALMEIDA SILVA","DANIEL BARBOSA","PP",63385,"ALAGOAS","AL",1650763
12,1190,20001614182,"FABIO MICHEY COSTA DA SILVA","DELEGADO FABIO COSTA","PP",60767,"ALAGOAS","AL",1650763
13,1510,20001653888,"RAFAEL DE GOES BRITO","RAFAEL BRITO (TIO RAFA)","MDB",58134,"ALAGOAS","AL",1650763
14,1212,30001601832,"JOSENILDO SANTOS ABRANTES","JOSENILDO","PDT",27112,"AMAPÁ","AP",423017
15,1515,30001605451,"ACÁCIO DA SILVA FAVACHO NETO","ACÁCIO FAVACHO","MDB",24064,"AMAPÁ","AP",423017
16,2222,30001648512,"VINICIUS DE AZEVEDO GURGEL","VINICIUS GURGEL","PL",13253,"AMAPÁ","AP",423017
17,1222,30001601831,"DORINALDO BARBOSA MALAFAIA","DORINALDO MALAFAIA","PDT",11473,"AMAPÁ","AP",423017
18,2225,30001648516,"SONIZE PIMENTEL DOS SANTOS BARBOSA","SONIZE BARBOSA","PL",9200,"AMAPÁ","AP",423017
19,1122,10001621646,"JOSÉ ESTEPHAN BARBARY FILHO","ZEZINHO BARBARY","PP",19958,"ACRE","AC",434253
20,4488,10001612484,"EDUARDO OVIDIO BORGES DE VELLOSO VIANNA","DR EDUARDO VELLOSO","UNIÃO",16786,"ACRE","AC",434253
21,1234,30001601833,"MARIA GORETH DA SILVA E SOUSA","PROFESSORA GORETH","PDT",8409,"AMAPÁ","AP",423017
22,1510,30001605452,"JOSÉ AUGUSTO PUPIO REIS JÚNIOR","DR. PUPIO","MDB",5787,"AMAPÁ","AP",423017
23,2210,30001648510,"SILVIA NOBRE LOPES","SILVIA WAIÃPI","PL",5435,"AMAPÁ","AP",423017
25,2323,40001719165,"AMOM MANDEL LINS FILHO","AMOM MANDEL","CIDADANIA",288555,"AMAZONAS","AM",1976477
24,1111,20001614175,"ARTHUR CESAR PEREIRA DE LIRA","ARTHUR LIRA","PP",219452,"ALAGOAS","AL",1650763
26,2210,40001612948,"ALBERTO BARROS CAVALCANTE NETO","CAPITÃO ALBERTO NETO","PL",147846,"AMAZONAS","AM",1976477
27,1010,10001619993,"ROBERTO DUARTE JUNIOR","ROBERTO DUARTE","REPUBLICANOS",14522,"ACRE","AC",434253
28,4455,40001618446,"SAULLO VELAME VIANNA","SAULLO VIANNA","UNIÃO",127287,"AMAZONAS","AM",1976477
29,1010,40001609377,"SILAS CÂMARA","SILAS CÂMARA","REPUBLICANOS",125068,"AMAZONAS","AM",1976477
30,5525,40001609233,"ATILA SIDNEY LINS DE ALBUQUERQUE","ATILA LINS","PSD",102401,"AMAZONAS","AM",1976477
31,5555,40001609236,"SIDNEY RICARDO DE OLIVEIRA LEITE","SIDNEY LEITE","PSD",102181,"AMAZONAS","AM",1976477
32,1000,40001609376,"ADAIL JOSÉ FIGUEIREDO PINHEIRO","ADAIL FILHO","REPUBLICANOS",90028,"AMAZONAS","AM",1976477
33,4477,40001618451,"FAUSTO VIEIRA DOS SANTOS JÚNIOR","FAUSTO SANTOS JR","UNIÃO",87876,"AMAZONAS","AM",1976477
34,5588,50001607228,"OTTO ROBERTO MENDONCA DE ALENCAR FILHO","OTTO FILHO","PSD",200909,"BAHIA","BA",7958431
35,4433,50001634583,"ELMAR JOSE VIEIRA NASCIMENTO","ELMAR NASCIMENTO","UNIÃO",175439,"BAHIA","BA",7958431
36,5500,50001607221,"DIEGO HENRIQUE SILVA CERQUEIRA MARTINS","DIEGO CORONEL","PSD",171684,"BAHIA","BA",7958431
37,5510,50001607229,"ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO","ANTONIO BRITO","PSD",165386,"BAHIA","BA",7958431
38,1144,50001621029,"ORLANDO SULZ DE ALMEIDA NETO","NETO CARLETTO","PP",164655,"BAHIA","BA",7958431
39,2222,50001609349,"ROBERTA DE ARAÚJO COSTA ROMA","ROBERTA ROMA","PL",160731,"BAHIA","BA",7958431
40,1122,50001621019,"CLAUDIO CAJADO SAMPAIO","CLAUDIO CAJADO","PP",154098,"BAHIA","BA",7958431
41,1111,50001621035,"MÁRIO SÍLVIO MENDES NEGROMONTE JÚNIOR","MÁRIO NEGROMONTE JR","PP",147711,"BAHIA","BA",7958431
42,1244,50001620881,"LEONARDO SILVA PRATES","LÉO PRATES","PDT",143763,"BAHIA","BA",7958431
43,4488,50001634594,"ADALBERTO ROSA BARRETO","DEPUTADO DAL","UNIÃO",140435,"BAHIA","BA",7958431
44,5577,50001607226,"GABRIEL JOSE MOURA NUNES SOARES","GABRIEL NUNES","PSD",138448,"BAHIA","BA",7958431
45,4400,50001634593,"PAULO VELLOSO DANTAS AZI","PAULO AZI","UNIÃO",137383,"BAHIA","BA",7958431
46,1555,50001614047,"RICARDO MAIA CHAVES DE SOUZA","RICARDO MAIA","MDB",136834,"BAHIA","BA",7958431
47,1313,50001605359,"JORGE JOSE SANTOS PEREIRA SOLLA","JORGE SOLLA","PT",128968,"BAHIA","BA",7958431
48,1323,50001605365,"JOSÉ CERQUEIRA DE SANTANA NETO","ZÉ NETO","PT",128439,"BAHIA","BA",7958431
49,6565,50001605367,"DANIEL GOMES DE ALMEIDA","DANIEL","PC do B",125374,"BAHIA","BA",7958431
50,6522,50001605368,"ALICE MAZZUCO PORTUGAL","ALICE PORTUGAL","PC do B",124358,"BAHIA","BA",7958431
51,4545,50001613575,"ADOLFO VIANA DE CASTRO NETO","ADOLFO VIANA","PSDB",123199,"BAHIA","BA",7958431
52,1010,50001619869,"MARCIO CARLOS MARINHO","MARCIO MARINHO","REPUBLICANOS",118904,"BAHIA","BA",7958431
53,1301,50001605378,"AFONSO BANDEIRA FLORENCE","AFONSO FLORENCE","PT",118021,"BAHIA","BA",7958431
54,5580,50001607223,"SÉRGIO LUÍS LACERDA BRITO","SÉRGIO BRITO","PSD",116960,"BAHIA","BA",7958431
55,1322,50001605361,"WALDENOR ALVES PEREIRA FILHO","WALDENOR PEREIRA","PT",113110,"BAHIA","BA",7958431
56,4040,50001606032,"LÍDICE DA MATA E SOUZA","LÍDICE DA MATA","PSB",112385,"BAHIA","BA",7958431
57,4343,50001605351,"JOÃO CARLOS BACELAR BATISTA","BACELAR","PV",110787,"BAHIA","BA",7958431
